Date,IHF
2010-09-29,45.64187240600586
2010-09-30,45.93056106567383
2010-10-01,45.856056213378906
2010-10-04,45.101722717285156
2010-10-05,45.92124557495117
2010-10-06,45.26935577392578
2010-10-07,45.623233795166016
2010-10-08,45.92124557495117
2010-10-11,46.172691345214844
2010-10-12,46.30307388305664
2010-10-13,46.75008010864258
2010-10-14,46.61970901489258
2010-10-15,46.87115478515625
2010-10-18,47.225040435791016
2010-10-19,46.032997131347656
2010-10-20,46.675567626953125
2010-10-21,46.386898040771484
2010-10-22,47.02014923095703
2010-10-25,47.225040435791016
2010-10-26,47.00153732299805
2010-10-27,46.43344497680664
2010-10-28,46.554508209228516
2010-10-29,46.65694808959961
2010-11-01,46.51726150512695
2010-11-02,48.04456329345703
2010-11-03,47.914180755615234
