Date,SOCL
2012-08-13,12.469574928283691
2012-08-14,12.186840057373047
2012-08-15,12.206339836120605
2012-08-16,12.323331832885742
2012-08-17,12.21608829498291
2012-08-20,12.3038330078125
2012-08-21,12.147842407226562
2012-08-22,12.264835357666016
2012-08-23,12.186840057373047
2012-08-24,12.274585723876953
2012-08-27,12.128342628479004
2012-08-28,12.196590423583984
2012-08-29,12.274585723876953
2012-08-30,12.157591819763184
2012-08-31,12.17708969116211
2012-09-04,12.284335136413574
2012-09-05,12.3428316116333
2012-09-06,12.684062957763672
2012-09-07,12.771809577941895
2012-09-10,12.615817070007324
2012-09-11,12.830306053161621
2012-09-12,13.015545845031738
2012-09-13,13.317778587341309
2012-09-14,13.649259567260742
2012-09-17,13.395774841308594
2012-09-18,13.532268524169922
