Date,TAN
2010-09-29,62.991695404052734
2010-09-30,64.10857391357422
2010-10-01,63.438446044921875
2010-10-04,61.651451110839844
2010-10-05,62.69386291503906
2010-10-06,62.619407653808594
2010-10-07,63.959659576416016
2010-10-08,63.06615447998047
2010-10-11,65.07652282714844
2010-10-12,65.1509780883789
2010-10-13,66.71461486816406
2010-10-14,68.20376586914062
2010-10-15,66.34231567382812
2010-10-18,66.19340515136719
2010-10-19,62.69386291503906
2010-10-20,63.66181945800781
2010-10-21,62.991695404052734
2010-10-22,62.84278106689453
2010-10-25,63.88520050048828
2010-10-26,64.25748443603516
2010-10-27,64.10857391357422
2010-10-28,64.70423889160156
2010-10-29,62.619407653808594
2010-11-01,61.80036544799805
2010-11-02,62.84278106689453
2010-11-03,63.438446044921875
2010-11-04,64.55532836914062
