Date,NLR
2010-09-29,42.02989196777344
2010-09-30,41.69444274902344
2010-10-01,42.10881042480469
2010-10-04,41.31952667236328
2010-10-05,41.753631591796875
2010-10-06,42.20747756958008
2010-10-07,42.385074615478516
2010-10-08,42.93757629394531
2010-10-11,42.97703552246094
2010-10-12,43.01650619506836
2010-10-13,43.33222198486328
2010-10-14,43.786067962646484
2010-10-15,43.70713424682617
2010-10-18,43.411155700683594
2010-10-19,42.917842864990234
2010-10-20,43.90446472167969
2010-10-21,43.45061492919922
2010-10-22,43.80580139160156
2010-10-25,44.53589630126953
2010-10-26,44.77268600463867
2010-10-27,44.160980224609375
2010-10-28,44.41749954223633
2010-10-29,44.3188362121582
2010-11-01,44.3188362121582
2010-11-02,45.3251953125
2010-11-03,45.73957443237305
2010-11-04,46.824851989746094
