Date,GRID
2010-09-29,27.184762954711914
2010-09-30,27.148853302001953
2010-10-01,27.301471710205078
2010-10-04,26.843599319458008
2010-10-05,27.62467384338379
2010-10-06,27.83116340637207
2010-10-07,28.127426147460938
2010-10-08,28.199251174926758
2010-10-11,28.082542419433594
2010-10-12,28.262096405029297
2010-10-13,28.755870819091797
2010-10-14,28.845657348632812
2010-10-15,28.86360740661621
2010-10-18,29.016231536865234
2010-10-19,28.19027328491211
2010-10-20,28.746898651123047
2010-10-21,28.728940963745117
2010-10-22,29.016231536865234
2010-10-25,29.20476531982422
2010-10-26,29.052146911621094
2010-10-27,28.576322555541992
2010-10-28,28.899520874023438
2010-10-29,28.289031982421875
2010-11-01,27.876047134399414
2010-11-02,28.36085319519043
2010-11-03,28.271072387695312
2010-11-04,29.02521514892578
