Date,PBD
2010-09-29,11.839469909667969
2010-09-30,11.908403396606445
2010-10-01,11.899789810180664
2010-10-04,11.761916160583496
2010-10-05,12.080740928649902
2010-10-06,12.097972869873047
2010-10-07,12.054887771606445
2010-10-08,12.158291816711426
2010-10-11,12.184142112731934
2010-10-12,12.132439613342285
2010-10-13,12.287543296813965
2010-10-14,12.382328033447266
2010-10-15,12.30477523803711
2010-10-18,12.278926849365234
2010-10-19,11.891173362731934
2010-10-20,12.029040336608887
2010-10-21,11.951486587524414
2010-10-22,12.037654876708984
2010-10-25,12.184142112731934
2010-10-26,12.089354515075684
2010-10-27,12.003190994262695
2010-10-28,12.029040336608887
2010-10-29,12.01180362701416
2010-11-01,11.87393856048584
2010-11-02,12.06350326538086
2010-11-03,12.123824119567871
