Date,HAP
2010-09-29,27.115304946899414
2010-09-30,26.955476760864258
2010-10-01,27.22718620300293
2010-10-04,26.979454040527344
2010-10-05,27.554838180541992
2010-10-06,27.834543228149414
2010-10-07,27.602792739868164
2010-10-08,28.194162368774414
2010-10-11,28.210142135620117
2010-10-12,28.298057556152344
2010-10-13,28.6976318359375
2010-10-14,28.801525115966797
2010-10-15,28.8175106048584
2010-10-18,28.825496673583984
2010-10-19,28.114246368408203
2010-10-20,28.497844696044922
2010-10-21,28.47386932373047
2010-10-22,28.54578971862793
2010-10-25,28.801525115966797
2010-10-26,28.71360969543457
2010-10-27,28.433908462524414
2010-10-28,28.577756881713867
2010-10-29,28.729595184326172
2010-11-01,28.68964195251465
2010-11-02,29.11319351196289
2010-11-03,29.217082977294922
