Date,VTV
2010-09-29,38.13037872314453
2010-09-30,38.075645446777344
2010-10-01,38.318023681640625
2010-10-04,38.06001281738281
2010-10-05,38.81841278076172
2010-10-06,38.85750198364258
2010-10-07,38.826229095458984
2010-10-08,38.99040603637695
2010-10-11,39.02167892456055
2010-10-12,39.170223236083984
2010-10-13,39.37350845336914
2010-10-14,39.170223236083984
2010-10-15,38.95913314819336
2010-10-18,39.34224319458008
2010-10-19,38.763675689697266
2010-10-20,39.17805862426758
2010-10-21,39.17805862426758
2010-10-22,39.185874938964844
2010-10-25,39.2562370300293
2010-10-26,39.19369125366211
2010-10-27,39.084232330322266
2010-10-28,39.123329162597656
2010-10-29,39.115501403808594
2010-11-01,39.068603515625
2010-11-02,39.334415435791016
2010-11-03,39.48298263549805
2010-11-04,40.31953048706055
