Date,IYT
2010-09-29,73.43778991699219
2010-09-30,73.04414367675781
2010-10-01,72.8741683959961
2010-10-04,71.98851776123047
2010-10-05,73.74191284179688
2010-10-06,74.04609680175781
2010-10-07,73.95665740966797
2010-10-08,74.71704864501953
2010-10-11,74.8780746459961
2010-10-12,74.56495666503906
2010-10-13,76.38994598388672
2010-10-14,75.95159912109375
2010-10-15,75.7547836303711
2010-10-18,76.02316284179688
2010-10-19,75.01226806640625
2010-10-20,76.65834045410156
2010-10-21,76.49732208251953
2010-10-22,76.78357696533203
2010-10-25,77.0967025756836
2010-10-26,77.1772232055664
2010-10-27,76.50623321533203
2010-10-28,76.43466186523438
2010-10-29,76.72989654541016
2010-11-01,76.73886108398438
2010-11-02,77.77657318115234
2010-11-03,78.5369873046875
2010-11-04,79.4942398071289
