Date,FAN
2010-09-29,8.282711029052734
2010-09-30,8.234461784362793
2010-10-01,8.330958366394043
2010-10-04,8.21033763885498
2010-10-05,8.53199577331543
2010-10-06,8.5400390625
2010-10-07,8.507872581481934
2010-10-08,8.491789817810059
2010-10-11,8.427454948425293
2010-10-12,8.40333366394043
2010-10-13,8.483747482299805
2010-10-14,8.5400390625
2010-10-15,8.564159393310547
2010-10-18,8.676742553710938
2010-10-19,8.40333366394043
2010-10-20,8.523955345153809
2010-10-21,8.451581001281738
2010-10-22,8.507872581481934
2010-10-25,8.564159393310547
2010-10-26,8.435495376586914
2010-10-27,8.355081558227539
2010-10-28,8.411373138427734
2010-10-29,8.419415473937988
2010-11-01,8.3148775100708
2010-11-02,8.53199577331543
2010-11-03,8.572200775146484
2010-11-04,8.63653564453125
