Date,PXJ
2010-09-29,15.592495918273926
2010-09-30,15.48617935180664
2010-10-01,15.565913200378418
2010-10-04,15.300132751464844
2010-10-05,15.69880199432373
2010-10-06,15.68994426727295
2010-10-07,15.548192977905273
2010-10-08,15.929145812988281
2010-10-11,15.89371109008789
2010-10-12,16.07089614868164
2010-10-13,16.389835357666016
2010-10-14,16.3189640045166
2010-10-15,16.487289428710938
2010-10-18,16.35439682006836
2010-10-19,15.911430358886719
2010-10-20,16.132909774780273
2010-10-21,16.026596069335938
2010-10-22,16.292383193969727
2010-10-25,16.2746639251709
2010-10-26,16.398696899414062
2010-10-27,16.5050048828125
2010-10-28,16.265810012817383
2010-10-29,16.22150993347168
2010-11-01,16.239227294921875
2010-11-02,16.478431701660156
2010-11-03,16.602458953857422
