Date,PBE
2010-09-29,18.8829402923584
2010-09-30,18.892667770385742
2010-10-01,18.90239906311035
2010-10-04,18.707828521728516
2010-10-05,19.3985538482666
2010-10-06,19.223438262939453
2010-10-07,19.213706970214844
2010-10-08,19.37909507751465
2010-10-11,19.34990692138672
2010-10-12,19.47637939453125
2010-10-13,19.64176368713379
2010-10-14,19.554208755493164
2010-10-15,19.661218643188477
2010-10-18,19.816875457763672
2010-10-19,19.359638214111328
2010-10-20,19.43746566772461
2010-10-21,19.408279418945312
2010-10-22,19.36936378479004
2010-10-25,19.51529312133789
2010-10-26,19.330453872680664
2010-10-27,19.51529312133789
2010-10-28,19.466651916503906
2010-10-29,19.44719123840332
2010-11-01,19.34990692138672
2010-11-02,19.59311866760254
2010-11-03,19.64176368713379
