Date,PSP
2010-09-27,5.016204357147217
2010-09-28,5.057703971862793
2010-09-29,5.047329425811768
2010-09-30,5.0732645988464355
2010-10-01,5.114764213562012
2010-10-04,5.068078994750977
2010-10-05,5.197763919830322
2010-10-06,5.223700046539307
2010-10-07,5.208138465881348
2010-10-08,5.275574684143066
2010-10-11,5.285948753356934
2010-10-12,5.291135787963867
2010-10-13,5.3637590408325195
2010-10-14,5.384510040283203
2010-10-15,5.358572959899902
2010-10-18,5.405258655548096
2010-10-19,5.285948753356934
2010-10-20,5.3533854484558105
2010-10-21,5.368947505950928
2010-10-22,5.358572959899902
2010-10-25,5.394883155822754
2010-10-26,5.384510040283203
2010-10-27,5.358572959899902
2010-10-28,5.415634632110596
2010-10-29,5.477883815765381
2010-11-01,5.457132816314697
