Date,XME
2010-09-29,46.19656753540039
2010-09-30,45.91326141357422
2010-10-01,46.7889289855957
2010-10-04,45.578433990478516
2010-10-05,46.831844329833984
2010-10-06,47.5444221496582
2010-10-07,46.68590545654297
2010-10-08,48.34283447265625
2010-10-11,48.394351959228516
2010-10-12,48.26557159423828
2010-10-13,49.149845123291016
2010-10-14,48.68622970581055
2010-10-15,48.27416229248047
2010-10-18,49.5533332824707
2010-10-19,46.62581253051758
2010-10-20,47.84489440917969
2010-10-21,47.037899017333984
2010-10-22,46.89194869995117
2010-10-25,47.81056594848633
2010-10-26,47.74188232421875
2010-10-27,47.4413948059082
2010-10-28,47.55301284790039
2010-10-29,48.068111419677734
2010-11-01,48.37717056274414
2010-11-02,48.97813415527344
2010-11-03,48.83219909667969
2010-11-04,51.04716110229492
