Date,PMR
2010-09-29,15.856548309326172
2010-09-30,15.69455623626709
2010-10-01,15.739550590515137
2010-10-04,15.60456371307373
2010-10-05,15.811543464660645
2010-10-06,15.712553977966309
2010-10-07,15.874541282653809
2010-10-08,15.99152946472168
2010-10-11,16.01852798461914
2010-10-12,16.14451789855957
2010-10-13,16.11751937866211
2010-10-14,16.05452537536621
2010-10-15,16.14451789855957
2010-10-18,16.270505905151367
2010-10-19,15.8655366897583
2010-10-20,16.045522689819336
2010-10-21,15.856548309326172
2010-10-22,15.99152946472168
2010-10-25,16.11751937866211
2010-10-26,16.189512252807617
2010-10-27,16.036521911621094
2010-10-28,16.063520431518555
2010-10-29,16.072521209716797
2010-11-01,15.901535034179688
2010-11-02,16.23451042175293
2010-11-03,16.288501739501953
2010-11-04,16.67547035217285
