Date,KBWP
2011-09-19,18.43941307067871
2011-09-20,18.43941307067871
2011-09-21,18.43941307067871
2011-09-22,18.43941307067871
2011-09-23,17.779088973999023
2011-09-26,17.779088973999023
2011-09-27,17.779088973999023
2011-09-28,17.779088973999023
2011-09-29,17.779088973999023
2011-09-30,17.779088973999023
2011-10-03,17.779088973999023
2011-10-04,17.779088973999023
2011-10-05,17.779088973999023
2011-10-06,17.779088973999023
2011-10-07,17.779088973999023
2011-10-10,17.779088973999023
2011-10-11,17.779088973999023
2011-10-12,17.779088973999023
2011-10-13,17.779088973999023
2011-10-14,17.779088973999023
2011-10-17,17.779088973999023
2011-10-18,17.779088973999023
2011-10-19,17.779088973999023
2011-10-20,19.405120849609375
2011-10-21,20.18924903869629
2011-10-24,20.18924903869629
2011-10-25,20.18924903869629
