Date,KBWR
2012-07-30,23.190214157104492
2012-07-31,23.173139572143555
2012-08-01,23.13900375366211
2012-08-02,22.626890182495117
2012-08-03,23.34384536743164
2012-08-06,23.403589248657227
2012-08-07,23.506017684936523
2012-08-08,23.48894691467285
2012-08-09,23.369449615478516
2012-08-10,23.241422653198242
2012-08-13,23.062183380126953
2012-08-14,23.267030715942383
2012-08-15,23.48894691467285
2012-08-16,23.591371536254883
2012-08-17,23.651113510131836
2012-08-20,23.898630142211914
2012-08-21,23.898630142211914
2012-08-22,23.651113510131836
2012-08-23,23.352380752563477
2012-08-24,23.506017684936523
2012-08-27,23.497482299804688
2012-08-28,23.565763473510742
2012-08-29,23.753538131713867
2012-08-30,23.753538131713867
2012-08-31,23.753538131713867
2012-09-04,24.069345474243164
