Date,PBS
2010-09-29,11.637499809265137
2010-09-30,11.637499809265137
2010-10-01,11.684845924377441
2010-10-04,11.590154647827148
2010-10-05,11.912102699279785
2010-10-06,11.694316864013672
2010-10-07,11.798477172851562
2010-10-08,12.006793975830078
2010-10-11,12.09201717376709
2010-10-12,12.110957145690918
2010-10-13,12.309804916381836
2010-10-14,12.281396865844727
2010-10-15,12.262463569641113
2010-10-18,12.243521690368652
2010-10-19,12.006793975830078
2010-10-20,12.17723560333252
2010-10-21,12.167770385742188
2010-10-22,12.167770385742188
2010-10-25,12.262463569641113
2010-10-26,12.271926879882812
2010-10-27,12.252988815307617
2010-10-28,12.300336837768555
2010-10-29,12.338212966918945
2010-11-01,12.271926879882812
2010-11-02,12.432903289794922
2010-11-03,12.413965225219727
