Date,FRAK
2014-10-01,270.0715026855469
2014-10-02,268.9596862792969
2014-10-03,266.5508117675781
2014-10-06,265.43902587890625
2014-10-07,259.9727478027344
2014-10-08,261.1771545410156
2014-10-09,249.04014587402344
2014-10-10,243.2959442138672
2014-10-13,231.8074951171875
2014-10-14,229.5839080810547
2014-10-15,232.73397827148438
2014-10-16,241.35032653808594
2014-10-17,241.6282501220703
2014-10-20,243.7592010498047
2014-10-21,250.70787048339844
2014-10-22,242.64739990234375
2014-10-23,248.76222229003906
2014-10-24,245.4268798828125
2014-10-27,237.18112182617188
2014-10-28,244.593017578125
2014-10-29,245.61216735839844
2014-10-30,242.27682495117188
2014-10-31,247.9283905029297
2014-11-03,242.46212768554688
2014-11-04,234.67962646484375
2014-11-05,243.11065673828125
2014-11-06,245.51951599121094
2014-11-07,251.5416717529297
2014-11-10,246.90927124023438
2014-11-11,249.22547912597656
2014-11-12,246.53866577148438
2014-11-13,240.79441833496094
2014-11-14,245.79745483398438
2014-11-17,241.99887084960938
2014-11-18,242.55474853515625
2014-11-19,243.11065673828125
2014-11-20,248.2989959716797
2014-11-21,252.83876037597656
2014-11-24,248.85488891601562
2014-11-25,243.2032928466797
2014-11-26,238.29290771484375
2014-11-28,213.83360290527344
2014-12-01,213.18505859375
2014-12-02,213.37034606933594
2014-12-03,218.0028076171875
2014-12-04,211.4247283935547
2014-12-05,208.55262756347656
2014-12-08,196.3229522705078
2014-12-09,199.28773498535156
2014-12-10,190.11549377441406
2014-12-11,188.72573852539062
2014-12-12,187.70663452148438
2014-12-15,183.5374298095703
2014-12-16,190.11549377441406
2014-12-17,204.10546875
2014-12-18,207.81141662597656
2014-12-19,215.1306915283203
2014-12-22,209.8012237548828
2014-12-23,213.64820861816406
2014-12-24,210.83331298828125
2014-12-26,208.95675659179688
2014-12-29,210.9271697998047
2014-12-30,207.7369842529297
2014-12-31,206.8925323486328
2015-01-02,208.4876251220703
2015-01-05,196.47750854492188
2015-01-06,192.724365234375
2015-01-07,192.44287109375
2015-01-08,196.75900268554688
2015-01-09,198.91709899902344
2015-01-12,189.1588897705078
2015-01-13,190.09718322753906
2015-01-14,193.94415283203125
2015-01-15,191.12928771972656
2015-01-16,199.76153564453125
2015-01-20,194.6947784423828
2015-01-21,199.76153564453125
2015-01-22,199.38623046875
2015-01-23,199.76153564453125
2015-01-26,202.76405334472656
2015-01-27,204.82830810546875
2015-01-28,193.19351196289062
2015-01-29,193.3811798095703
2015-01-30,198.44793701171875
2015-02-02,206.42337036132812
2015-02-03,215.52474975585938
2015-02-04,209.89503479003906
2015-02-05,214.3049774169922
2015-02-06,214.0235137939453
2015-02-09,214.8679656982422
2015-02-10,212.42840576171875
2015-02-11,210.9271697998047
2015-02-12,215.2432861328125
2015-02-13,219.465576171875
2015-02-17,220.4038543701172
2015-02-18,215.99391174316406
2015-02-19,216.08775329589844
2015-02-20,214.39881896972656
2015-02-23,211.6778106689453
2015-02-24,213.55438232421875
2015-02-25,216.4630584716797
2015-02-26,208.58145141601562
2015-02-27,207.54931640625
2015-03-02,204.92210388183594
2015-03-03,207.1739959716797
2015-03-04,208.01844787597656
2015-03-05,205.67274475097656
2015-03-06,200.4183349609375
2015-03-09,197.5096435546875
2015-03-10,194.4132843017578
2015-03-11,196.38369750976562
2015-03-12,194.03797912597656
2015-03-13,192.724365234375
2015-03-16,194.88243103027344
2015-03-17,193.75650024414062
2015-03-18,201.450439453125
2015-03-19,195.72689819335938
2015-03-20,198.7294158935547
2015-03-23,197.6973114013672
2015-03-24,198.3540802001953
2015-03-25,201.3566436767578
2015-03-26,201.73194885253906
2015-03-27,199.48007202148438
2015-03-30,202.38873291015625
2015-03-31,201.63809204101562
2015-04-01,203.51467895507812
2015-04-02,206.70486450195312
2015-04-06,212.80374145507812
2015-04-07,214.39881896972656
2015-04-08,211.20864868164062
2015-04-09,215.14944458007812
2015-04-10,215.99391174316406
2015-04-13,214.77413940429688
2015-04-14,220.4038543701172
2015-04-15,228.28549194335938
2015-04-16,227.5348663330078
2015-04-17,226.0336151123047
2015-04-20,227.0657196044922
2015-04-21,221.9989776611328
2015-04-22,222.937255859375
2015-04-23,225.37680053710938
2015-04-24,223.59405517578125
2015-04-27,223.59405517578125
2015-04-28,224.71998596191406
2015-04-29,228.47315979003906
2015-04-30,228.3793182373047
2015-05-01,228.0978546142578
2015-05-04,228.19166564941406
2015-05-05,221.1544952392578
2015-05-06,219.5594024658203
2015-05-07,215.14944458007812
2015-05-08,219.09027099609375
2015-05-11,214.1173553466797
2015-05-12,216.4630584716797
2015-05-13,213.74205017089844
2015-05-14,211.302490234375
2015-05-15,212.80374145507812
2015-05-18,212.80374145507812
2015-05-19,208.39378356933594
2015-05-20,209.613525390625
2015-05-21,213.08522033691406
2015-05-22,212.14695739746094
2015-05-26,208.4876251220703
2015-05-27,206.8925323486328
2015-05-28,205.39126586914062
2015-05-29,206.42337036132812
2015-06-01,204.82830810546875
2015-06-02,207.26785278320312
2015-06-03,205.67274475097656
2015-06-04,202.20108032226562
2015-06-05,204.45297241210938
2015-06-08,202.013427734375
2015-06-09,203.7023468017578
2015-06-10,206.6110382080078
2015-06-11,205.57891845703125
2015-06-12,203.2332000732422
2015-06-15,202.48257446289062
2015-06-16,204.92210388183594
2015-06-17,203.6085205078125
2015-06-18,202.57640075683594
2015-06-19,199.94920349121094
2015-06-22,201.07513427734375
2015-06-23,203.2332000732422
2015-06-24,201.8257598876953
2015-06-25,200.32449340820312
2015-06-26,199.29238891601562
2015-06-29,193.6626434326172
2015-06-30,194.7886199951172
2015-07-01,190.00332641601562
2015-07-02,190.2848358154297
2015-07-06,185.78106689453125
2015-07-07,189.72186279296875
2015-07-08,182.4970245361328
2015-07-09,183.9044647216797
2015-07-10,181.84022521972656
2015-07-13,181.84022521972656
2015-07-14,185.4995574951172
2015-07-15,180.1513214111328
2015-07-16,178.46238708496094
2015-07-17,174.1462860107422
2015-07-20,168.42269897460938
2015-07-21,168.42269897460938
2015-07-22,166.1708526611328
2015-07-23,166.63998413085938
2015-07-24,161.66705322265625
2015-07-27,157.91387939453125
2015-07-28,164.10658264160156
2015-07-29,167.85972595214844
2015-07-30,167.39059448242188
2015-07-31,163.91893005371094
2015-08-03,160.0719451904297
2015-08-04,159.97811889648438
2015-08-05,157.7262420654297
2015-08-06,162.511474609375
2015-08-07,157.3509063720703
2015-08-10,164.10658264160156
2015-08-11,161.66705322265625
2015-08-12,167.2967529296875
2015-08-13,162.88681030273438
2015-08-14,162.4176788330078
2015-08-17,161.29171752929688
2015-08-18,161.38555908203125
2015-08-19,154.91136169433594
2015-08-20,151.439697265625
2015-08-21,147.87420654296875
2015-08-24,138.2098388671875
2015-08-25,137.27154541015625
2015-08-26,139.52342224121094
2015-08-27,151.15821838378906
2015-08-28,154.81753540039062
2015-08-31,159.2274932861328
2015-09-01,152.47183227539062
2015-09-02,152.28416442871094
2015-09-03,153.4101104736328
2015-09-04,152.00267028808594
2015-09-08,153.50393676757812
2015-09-09,148.34335327148438
2015-09-10,149.37545776367188
2015-09-11,146.65443420410156
2015-09-14,145.15316772460938
2015-09-15,146.8420867919922
2015-09-16,154.81753540039062
2015-09-17,154.4422149658203
2015-09-18,149.1877899169922
2015-09-21,150.9705352783203
2015-09-22,147.96803283691406
2015-09-23,143.93338012695312
2015-09-24,145.3408203125
2015-09-25,144.1210479736328
2015-09-28,137.36537170410156
2015-09-29,138.3036651611328
2015-09-30,139.8987579345703
2015-10-01,142.05682373046875
2015-10-02,150.31375122070312
2015-10-05,157.7262420654297
2015-10-06,163.82510375976562
2015-10-07,165.983154296875
2015-10-08,171.9882049560547
2015-10-09,170.58079528808594
2015-10-12,165.1387176513672
2015-10-13,164.20042419433594
2015-10-14,166.35848999023438
2015-10-15,168.98570251464844
2015-10-16,168.70420837402344
2015-10-19,163.7312774658203
2015-10-20,165.51400756835938
2015-10-21,160.728759765625
2015-10-22,162.69915771484375
2015-10-23,160.82257080078125
2015-10-26,155.75582885742188
2015-10-27,151.15821838378906
2015-10-28,156.3188018798828
2015-10-29,157.06942749023438
2015-10-30,158.10153198242188
2015-11-02,160.447265625
2015-11-03,166.1708526611328
2015-11-04,164.57574462890625
2015-11-05,165.3263397216797
2015-11-06,162.4176788330078
2015-11-09,164.10658264160156
2015-11-10,163.7312774658203
2015-11-11,157.6324005126953
2015-11-12,153.50393676757812
2015-11-13,154.6298828125
2015-11-16,160.447265625
2015-11-17,157.3509063720703
2015-11-18,160.25962829589844
2015-11-19,156.50645446777344
2015-11-20,153.4101104736328
2015-11-23,154.6298828125
2015-11-24,159.50897216796875
2015-11-25,158.10153198242188
2015-11-27,154.53604125976562
2015-11-30,155.56817626953125
2015-12-01,156.97560119628906
2015-12-02,150.03225708007812
2015-12-03,147.78038024902344
2015-12-04,144.68402099609375
2015-12-07,136.2394256591797
2015-12-08,135.77027893066406
2015-12-09,136.33326721191406
2015-12-10,138.1160125732422
2015-12-11,131.07884216308594
2015-12-14,129.29611206054688
2015-12-15,131.92332458496094
2015-12-16,129.29611206054688
2015-12-17,124.60466766357422
2015-12-18,122.6342544555664
2015-12-21,121.01557159423828
2015-12-22,122.46082305908203
2015-12-23,132.38487243652344
2015-12-24,131.71041870117188
2015-12-28,126.8929214477539
2015-12-29,128.62721252441406
2015-12-30,125.73672485351562
2015-12-31,127.95277404785156
2016-01-04,127.66372680664062
2016-01-05,127.47103881835938
2016-01-06,118.99222564697266
2016-01-07,114.56012725830078
2016-01-08,115.90901947021484
2016-01-11,110.80247497558594
2016-01-12,108.29737854003906
2016-01-13,107.14118194580078
2016-01-14,110.8988265991211
2016-01-15,106.17767333984375
2016-01-19,102.51638793945312
2016-01-20,102.1309814453125
2016-01-21,109.45357513427734
2016-01-22,113.7893295288086
2016-01-25,106.46672821044922
2016-01-26,112.34407806396484
2016-01-27,113.40391540527344
2016-01-28,119.4739761352539
2016-01-29,124.09877014160156
2016-02-01,120.24478149414062
2016-02-02,115.81266784667969
2016-02-03,122.55717468261719
2016-02-04,121.4009780883789
2016-02-05,117.45062255859375
2016-02-08,115.52362823486328
2016-02-09,109.9353256225586
2016-02-10,109.16453552246094
2016-02-11,108.39373016357422
2016-02-12,111.28421783447266
2016-02-16,111.47692108154297
2016-02-17,117.25791931152344
2016-02-18,113.88567352294922
2016-02-19,112.0550308227539
2016-02-22,116.48712921142578
2016-02-23,110.80247497558594
2016-02-24,112.4404296875
2016-02-25,112.15137481689453
2016-02-26,114.75282287597656
2016-02-29,114.367431640625
2016-03-01,116.67982482910156
2016-03-02,122.36447143554688
2016-03-03,126.79658508300781
2016-03-04,129.68707275390625
2016-03-07,134.3118438720703
2016-03-08,125.25497436523438
2016-03-09,128.04913330078125
2016-03-10,128.2418212890625
2016-03-11,134.40821838378906
2016-03-14,133.05931091308594
2016-03-15,132.5775909423828
2016-03-16,136.913330078125
2016-03-17,140.28558349609375
2016-03-18,139.9965362548828
2016-03-21,138.4549102783203
2016-03-22,138.64761352539062
2016-03-23,132.48123168945312
2016-03-24,133.92648315429688
2016-03-28,132.67393493652344
2016-03-29,134.0228271484375
2016-03-30,134.7936248779297
2016-03-31,136.1425323486328
2016-04-01,132.9629669189453
2016-04-04,130.9396209716797
2016-04-05,131.71041870117188
2016-04-06,134.986328125
2016-04-07,133.34835815429688
2016-04-08,139.03302001953125
