Date,KBWB
2012-07-30,20.225736618041992
2012-07-31,20.165130615234375
2012-08-01,20.087203979492188
2012-08-02,19.77550506591797
2012-08-03,20.416217803955078
2012-08-06,20.42487144470215
2012-08-07,20.779865264892578
2012-08-08,20.6153564453125
2012-08-09,20.624013900756836
2012-08-10,20.520116806030273
2012-08-13,20.667306900024414
2012-08-14,20.72791290283203
2012-08-15,20.72791290283203
2012-08-16,20.814496994018555
2012-08-17,20.94437599182129
2012-08-20,20.987655639648438
2012-08-21,21.039609909057617
2012-08-22,21.022296905517578
2012-08-23,20.762542724609375
2012-08-24,20.927053451538086
2012-08-27,20.927053451538086
2012-08-28,20.901079177856445
2012-08-29,21.022296905517578
2012-08-30,20.901079177856445
2012-08-31,20.961688995361328
2012-09-04,20.9789981842041
2012-09-05,20.927053451538086
