Date,PPA
2010-11-19,15.844801902770996
2010-11-22,15.809370994567871
2010-11-23,15.694232940673828
2010-11-24,16.07508087158203
2010-11-26,15.951085090637207
2010-11-29,15.853658676147461
2010-11-30,15.800518989562988
2010-12-01,16.19021987915039
2010-12-02,16.393918991088867
2010-12-03,16.402780532836914
2010-12-06,16.35849380493164
2010-12-07,16.429349899291992
2010-12-08,16.385066986083984
2010-12-09,16.287641525268555
2010-12-10,16.393918991088867
2010-12-13,16.376209259033203
2010-12-14,16.482486724853516
2010-12-15,16.376209259033203
2010-12-16,16.535629272460938
2010-12-17,16.532960891723633
2010-12-20,16.48854637145996
2010-12-21,16.60403823852539
2010-12-22,16.63068962097168
2010-12-23,16.648462295532227
2010-12-27,16.648462295532227
2010-12-28,16.65734100341797
2010-12-29,16.639570236206055
2010-12-30,16.60403823852539
2010-12-31,16.62180519104004
2011-01-03,16.7728328704834
2011-01-04,16.74618148803711
2011-01-05,16.888322830200195
2011-01-06,17.021577835083008
2011-01-07,17.145954132080078
2011-01-10,17.048229217529297
2011-01-11,17.07488250732422
2011-01-12,17.305870056152344
2011-01-13,17.296979904174805
2011-01-14,17.385820388793945
2011-01-18,17.60791778564453
2011-01-19,17.48354721069336
2011-01-20,17.50130844116211
2011-01-21,17.492427825927734
2011-01-24,17.60791778564453
2011-01-25,17.741182327270508
2011-01-26,17.7678279876709
2011-01-27,17.821128845214844
2011-01-28,17.456886291503906
2011-01-31,17.643455505371094
2011-02-01,17.883323669433594
2011-02-02,17.90108871459961
2011-02-03,17.892202377319336
2011-02-04,17.90108871459961
2011-02-07,18.105422973632812
2011-02-08,18.21202278137207
2011-02-09,18.069881439208984
2011-02-10,18.087646484375
2011-02-11,18.06099510192871
2011-02-14,18.0076961517334
2011-02-15,17.96327781677246
2011-02-16,18.0076961517334
2011-02-17,18.069881439208984
2011-02-18,18.1676082611084
2011-02-22,17.68787956237793
2011-02-23,17.465774536132812
2011-02-24,17.60791778564453
2011-02-25,17.785608291625977
2011-02-28,17.7678279876709
2011-03-01,17.465774536132812
2011-03-02,17.474660873413086
2011-03-03,17.883323669433594
2011-03-04,17.723413467407227
2011-03-07,17.48354721069336
2011-03-08,17.80336570739746
2011-03-09,17.80336570739746
2011-03-10,17.465774536132812
2011-03-11,17.60791778564453
2011-03-14,17.48354721069336
2011-03-15,17.403589248657227
2011-03-16,17.021577835083008
2011-03-17,17.208148956298828
2011-03-18,17.370012283325195
2011-03-21,17.74356460571289
2011-03-22,17.707988739013672
2011-03-23,17.779136657714844
2011-03-24,17.859188079833984
2011-03-25,17.876977920532227
2011-03-28,17.84139633178711
2011-03-29,17.9481258392334
2011-03-30,17.99259376525879
2011-03-31,18.099327087402344
2011-04-01,18.18826675415039
2011-04-04,18.126007080078125
2011-04-05,18.126007080078125
2011-04-06,18.206052780151367
2011-04-07,18.179365158081055
2011-04-08,17.983701705932617
2011-04-11,17.97480583190918
2011-04-12,17.79692840576172
2011-04-13,17.61904525756836
2011-04-14,17.58346939086914
2011-04-15,17.681304931640625
2011-04-18,17.467845916748047
2011-04-19,17.547893524169922
2011-04-20,17.876977920532227
2011-04-21,17.99259376525879
2011-04-25,17.894760131835938
2011-04-26,18.126007080078125
2011-04-27,18.170473098754883
2011-04-28,18.19715690612793
2011-04-29,18.268312454223633
2011-05-02,18.250526428222656
2011-05-03,18.214946746826172
2011-05-04,17.99259376525879
2011-05-05,17.97480583190918
2011-05-06,18.134899139404297
2011-05-09,18.206052780151367
2011-05-10,18.366140365600586
2011-05-11,18.250526428222656
2011-05-12,18.32167625427246
2011-05-13,18.15268325805664
2011-05-16,18.09042739868164
2011-05-17,17.92144012451172
2011-05-18,18.081533432006836
2011-05-19,18.134899139404297
2011-05-20,18.04596710205078
2011-05-23,17.752458572387695
2011-05-24,17.654619216918945
2011-05-25,17.752458572387695
2011-05-26,17.654619216918945
2011-05-27,17.779136657714844
2011-05-31,17.99259376525879
2011-06-01,17.547893524169922
2011-06-02,17.53900146484375
2011-06-03,17.378908157348633
2011-06-06,17.334436416625977
2011-06-07,17.343338012695312
2011-06-08,17.201025009155273
2011-06-09,17.334436416625977
2011-06-10,17.103193283081055
2011-06-13,17.174345016479492
2011-06-14,17.45005989074707
2011-06-15,17.28997230529785
2011-06-16,17.387802124023438
2011-06-17,17.44852066040039
2011-06-20,17.600326538085938
2011-06-21,17.787853240966797
2011-06-22,17.76106071472168
2011-06-23,17.636043548583984
2011-06-24,17.51103401184082
2011-06-27,17.644975662231445
2011-06-28,17.832500457763672
2011-06-29,17.966440200805664
2011-06-30,18.198610305786133
2011-07-01,18.48436164855957
2011-07-05,18.314697265625
2011-07-06,18.35041618347168
2011-07-07,18.466503143310547
2011-07-08,18.305767059326172
2011-07-11,17.984302520751953
2011-07-12,17.859289169311523
2011-07-13,17.850358963012695
2011-07-14,17.671764373779297
2011-07-15,17.555681228637695
2011-07-18,17.3145751953125
2011-07-19,17.555681228637695
2011-07-20,17.65390968322754
2011-07-21,17.975370407104492
2011-07-22,17.82356834411621
2011-07-25,17.734268188476562
2011-07-26,17.636043548583984
2011-07-27,17.135984420776367
2011-07-28,16.966327667236328
2011-07-29,16.984180450439453
2011-08-01,16.76987075805664
2011-08-02,16.296598434448242
2011-08-03,16.314462661743164
2011-08-04,15.475069046020508
2011-08-05,15.45721435546875
2011-08-08,14.3410062789917
2011-08-09,15.055378913879395
2011-08-10,14.108837127685547
2011-08-11,14.662476539611816
2011-08-12,14.948222160339355
2011-08-15,15.180394172668457
2011-08-16,15.037517547607422
2011-08-17,15.037517547607422
2011-08-18,14.233850479125977
2011-08-19,14.099907875061035
2011-08-22,14.180273056030273
2011-08-23,14.671404838562012
2011-08-24,14.966079711914062
2011-08-25,14.707123756408691
2011-08-26,15.037517547607422
2011-08-29,15.510787963867188
2011-08-30,15.707246780395508
2011-08-31,15.71617317199707
2011-09-01,15.367918014526367
2011-09-02,14.867854118347168
2011-09-06,14.751770973205566
2011-09-07,15.189325332641602
2011-09-08,14.992873191833496
2011-09-09,14.662476539611816
2011-09-12,14.653544425964355
2011-09-13,14.778557777404785
2011-09-14,15.064309120178223
2011-09-15,15.323269844055176
2011-09-16,15.546906471252441
2011-09-19,15.45709228515625
2011-09-20,15.385244369506836
2011-09-21,14.810425758361816
2011-09-22,14.36135482788086
2011-09-23,14.540984153747559
2011-09-26,14.900242805480957
2011-09-27,15.178668975830078
2011-09-28,14.855335235595703
2011-09-29,14.891260147094727
2011-09-30,14.684685707092285
2011-10-03,14.190706253051758
2011-10-04,14.576909065246582
2011-10-05,14.855335235595703
2011-10-06,15.142741203308105
2011-10-07,15.10681438446045
2011-10-10,15.573853492736816
2011-10-11,15.636723518371582
2011-10-12,15.798386573791504
2011-10-13,15.672649383544922
2011-10-14,15.843294143676758
2011-10-17,15.519963264465332
2011-10-18,15.82533073425293
2011-10-19,15.60977840423584
2011-10-20,15.645705223083496
2011-10-21,16.0408878326416
2011-10-24,16.328290939331055
2011-10-25,16.0408878326416
2011-10-26,16.049867630004883
2011-10-27,16.678569793701172
2011-10-28,16.5707950592041
2011-10-31,16.28338623046875
2011-11-01,15.69958782196045
2011-11-02,15.87922191619873
2011-11-03,16.373205184936523
2011-11-04,16.355236053466797
2011-11-07,16.436071395874023
2011-11-08,16.615699768066406
2011-11-09,15.987001419067383
2011-11-10,16.094778060913086
2011-11-11,16.427091598510742
2011-11-14,16.2923641204834
2011-11-15,16.4630184173584
2011-11-16,16.175609588623047
2011-11-17,15.897184371948242
2011-11-18,15.95107364654541
2011-11-21,15.636723518371582
2011-11-22,15.466071128845215
2011-11-23,15.070889472961426
2011-11-25,15.079870223999023
2011-11-28,15.582836151123047
2011-11-29,15.56486988067627
2011-11-30,16.211538314819336
2011-12-01,16.247459411621094
2011-12-02,16.202552795410156
2011-12-05,16.328290939331055
2011-12-06,16.28338623046875
2011-12-07,16.25644874572754
2011-12-08,15.861258506774902
2011-12-09,16.247459411621094
2011-12-12,15.978021621704102
2011-12-13,15.834311485290527
2011-12-14,15.717555046081543
2011-12-15,15.861258506774902
2011-12-16,15.94209098815918
2011-12-19,15.744499206542969
2011-12-20,16.28338623046875
2011-12-21,16.364213943481445
2011-12-22,16.507925033569336
2011-12-23,16.57977867126465
2011-12-27,16.54384994506836
2011-12-28,16.2923641204834
2011-12-29,16.445053100585938
2011-12-30,16.34626007080078
2012-01-03,16.588756561279297
2012-01-04,16.57977867126465
2012-01-05,16.525882720947266
2012-01-06,16.54384994506836
2012-01-09,16.59773826599121
2012-01-10,16.84922218322754
2012-01-11,16.948015213012695
2012-01-12,17.064777374267578
2012-01-13,16.885147094726562
2012-01-17,16.98394203186035
2012-01-18,17.154586791992188
2012-01-19,17.37013816833496
2012-01-20,17.262367248535156
2012-01-23,17.253381729125977
2012-01-24,17.21746253967285
2012-01-25,17.37013816833496
2012-01-26,17.28032875061035
2012-01-27,17.2893123626709
2012-01-30,17.172550201416016
2012-01-31,17.29829216003418
2012-02-01,17.594680786132812
2012-02-02,17.53180694580078
2012-02-03,17.81023597717285
2012-02-06,17.684497833251953
2012-02-07,17.72041893005371
2012-02-08,17.944957733154297
2012-02-09,17.9898624420166
2012-02-10,17.846160888671875
2012-02-13,17.98088264465332
2012-02-14,17.962919235229492
2012-02-15,17.774307250976562
2012-02-16,17.918012619018555
2012-02-17,17.998844146728516
2012-02-21,17.98088264465332
2012-02-22,17.962919235229492
2012-02-23,17.9898624420166
2012-02-24,18.052738189697266
2012-02-27,18.043752670288086
2012-02-28,18.00782585144043
2012-02-29,17.9898624420166
2012-03-01,17.998844146728516
2012-03-02,17.873104095458984
2012-03-05,17.81023597717285
2012-03-06,17.441993713378906
2012-03-07,17.567729949951172
2012-03-08,17.792272567749023
2012-03-09,17.873104095458984
2012-03-12,17.86412239074707
2012-03-13,18.124589920043945
2012-03-14,18.124589920043945
2012-03-15,18.169490814208984
2012-03-16,18.143430709838867
2012-03-19,18.17937469482422
2012-03-20,17.918777465820312
2012-03-21,17.98168182373047
2012-03-22,17.873844146728516
2012-03-23,17.999645233154297
2012-03-26,18.251270294189453
2012-03-27,18.206336975097656
2012-03-28,18.04458236694336
2012-03-29,18.080530166625977
2012-03-30,18.107492446899414
2012-04-02,18.233293533325195
2012-04-03,18.143430709838867
2012-04-04,17.98168182373047
