Date,SPY
2015-11-18,190.78892517089844
2015-11-19,190.62442016601562
2015-11-20,191.31907653808594
2015-11-23,191.0997314453125
2015-11-24,191.35562133789062
2015-11-25,191.3282470703125
2015-11-27,191.54759216308594
2015-11-30,190.75234985351562
2015-12-01,192.5713348388672
2015-12-02,190.6061248779297
2015-12-03,187.93711853027344
2015-12-04,191.60243225097656
2015-12-07,190.4416046142578
2015-12-08,189.16192626953125
2015-12-09,187.6903076171875
2015-12-10,188.1747589111328
2015-12-11,184.52772521972656
2015-12-14,185.4600372314453
2015-12-15,187.40701293945312
2015-12-16,190.14913940429688
2015-12-17,187.25157165527344
2015-12-18,183.91571044921875
2015-12-21,185.4328155517578
2015-12-22,187.1155242919922
2015-12-23,189.43260192871094
2015-12-24,189.11997985839844
2015-12-28,188.6878204345703
2015-12-29,190.7014923095703
2015-12-30,189.34983825683594
2015-12-31,187.45571899414062
2016-01-04,184.83517456054688
2016-01-05,185.1477813720703
2016-01-06,182.81228637695312
2016-01-07,178.42633056640625
2016-01-08,176.4678497314453
2016-01-11,176.6425323486328
2016-01-12,178.06776428222656
2016-01-13,173.62661743164062
2016-01-14,176.47702026367188
2016-01-15,172.68875122070312
2016-01-19,172.91864013671875
2016-01-20,170.70266723632812
2016-01-21,171.65895080566406
2016-01-22,175.18055725097656
2016-01-25,172.53240966796875
2016-01-26,174.88632202148438
2016-01-27,172.98297119140625
2016-01-28,173.8840789794922
2016-01-29,178.1229248046875
2016-02-01,178.05856323242188
2016-02-02,174.84951782226562
2016-02-03,175.8977813720703
2016-02-04,176.17359924316406
2016-02-05,172.81748962402344
2016-02-08,170.49118041992188
2016-02-09,170.50039672851562
2016-02-10,170.35325622558594
2016-02-11,168.13731384277344
2016-02-12,171.60377502441406
2016-02-16,174.5001220703125
2016-02-17,177.3505401611328
2016-02-18,176.6241455078125
2016-02-19,176.54139709472656
2016-02-22,179.09759521484375
2016-02-23,176.83566284179688
2016-02-24,177.64479064941406
2016-02-25,179.79640197753906
2016-02-26,179.38259887695312
2016-02-29,177.97579956054688
2016-03-01,182.15945434570312
2016-03-02,182.9778289794922
2016-03-03,183.6950225830078
2016-03-04,184.29269409179688
2016-03-07,184.4398193359375
2016-03-08,182.4261474609375
2016-03-09,183.32720947265625
2016-03-10,183.4743194580078
2016-03-11,186.43508911132812
2016-03-14,186.19602966308594
2016-03-15,185.89259338378906
2016-03-16,186.96835327148438
2016-03-17,188.15452575683594
2016-03-18,188.89390563964844
2016-03-21,189.1619110107422
2016-03-22,189.0602264404297
2016-03-23,187.81253051757812
2016-03-24,187.72938537597656
2016-03-28,187.84027099609375
2016-03-29,189.5778045654297
2016-03-30,190.4096221923828
2016-03-31,189.947509765625
2016-04-01,191.24143981933594
2016-04-04,190.62220764160156
2016-04-05,188.71827697753906
2016-04-06,190.77931213378906
2016-04-07,188.4965057373047
2016-04-08,189.00479125976562
2016-04-11,188.56117248535156
2016-04-12,190.31719970703125
2016-04-13,192.23963928222656
2016-04-14,192.2488555908203
2016-04-15,192.03623962402344
2016-04-18,193.38565063476562
2016-04-19,193.9956512451172
2016-04-20,194.1804962158203
2016-04-21,193.1361083984375
2016-04-22,193.1361083984375
2016-04-25,192.80337524414062
2016-04-26,193.08990478515625
2016-04-27,193.4873046875
2016-04-28,191.73123168945312
2016-04-29,190.69615173339844
2016-05-02,192.21188354492188
2016-05-03,190.5390167236328
2016-05-04,189.47618103027344
2016-05-05,189.439208984375
2016-05-06,190.1323699951172
2016-05-09,190.2895050048828
2016-05-10,192.65550231933594
2016-05-11,190.85324096679688
2016-05-12,190.90869140625
2016-05-13,189.24508666992188
2016-05-16,191.11204528808594
2016-05-17,189.32830810546875
2016-05-18,189.38372802734375
2016-05-19,188.72750854492188
2016-05-20,189.9197998046875
2016-05-23,189.66102600097656
2016-05-24,192.1194610595703
2016-05-25,193.422607421875
2016-05-26,193.47805786132812
2016-05-27,194.3098907470703
2016-05-31,193.9402313232422
2016-06-01,194.33763122558594
2016-06-02,194.92913818359375
2016-06-03,194.34683227539062
2016-06-06,195.33580017089844
2016-06-07,195.6407470703125
2016-06-08,196.27850341796875
