Date,SKYY
2012-03-30,20.765361785888672
2012-04-02,20.911182403564453
2012-04-03,20.9209041595459
2012-04-04,20.512596130371094
2012-04-05,20.483434677124023
2012-04-09,20.240394592285156
2012-04-10,19.812641143798828
2012-04-11,19.929302215576172
2012-04-12,20.29871940612793
2012-04-13,20.133455276489258
2012-04-16,19.851526260375977
2012-04-17,20.376497268676758
2012-04-18,20.32788848876953
2012-04-19,20.20151138305664
2012-04-20,20.026519775390625
2012-04-23,19.715429306030273
2012-04-24,19.443220138549805
2012-04-25,19.812641143798828
2012-04-26,20.07512855529785
2012-04-27,20.143177032470703
2012-04-30,19.909862518310547
2012-05-01,19.987628936767578
2012-05-02,20.04595947265625
2012-05-03,19.783479690551758
2012-05-04,19.346004486083984
2012-05-07,19.229347229003906
