Date,SEA
2011-03-08,17.880006790161133
2011-03-09,17.813810348510742
2011-03-10,17.462963104248047
2011-03-11,17.701276779174805
2011-03-14,17.621835708618164
2011-03-15,17.211406707763672
2011-03-16,16.939998626708984
2011-03-17,16.99295997619629
2011-03-18,17.18492889404297
2011-03-21,17.621835708618164
2011-03-22,17.694652557373047
2011-03-23,17.688037872314453
2011-03-24,17.827045440673828
2011-03-25,17.854990005493164
2011-03-28,17.695329666137695
2011-03-29,17.788469314575195
2011-03-30,17.961423873901367
2011-03-31,17.908206939697266
2011-04-01,17.961423873901367
2011-04-04,18.101118087768555
2011-04-05,17.988040924072266
2011-04-06,18.0013370513916
2011-04-07,17.954776763916016
2011-04-08,17.954776763916016
2011-04-11,17.708635330200195
2011-04-12,17.455846786499023
