Date,SLX
2010-09-29,47.032936096191406
2010-09-30,47.107696533203125
2010-10-01,47.78055953979492
2010-10-04,46.86846160888672
2010-10-05,48.12446212768555
2010-10-06,48.401084899902344
2010-10-07,48.0721321105957
2010-10-08,49.04404067993164
2010-10-11,49.00666809082031
2010-10-12,48.50574493408203
2010-10-13,49.25337219238281
2010-10-14,49.126277923583984
2010-10-15,48.976749420166016
2010-10-18,49.55242156982422
2010-10-19,47.42169952392578
2010-10-20,48.34874725341797
2010-10-21,47.75813674926758
2010-10-22,47.75813674926758
2010-10-25,48.333805084228516
2010-10-26,47.862789154052734
2010-10-27,47.30208206176758
2010-10-28,47.488983154296875
2010-10-29,47.885223388671875
2010-11-01,48.17680358886719
2010-11-02,49.193565368652344
2010-11-03,49.25337219238281
2010-11-04,51.092529296875
