Date,ROBO
2014-07-21,26.635250091552734
2014-07-22,26.94049835205078
2014-07-23,27.078351974487305
2014-07-24,27.048809051513672
2014-07-25,26.861722946166992
2014-07-28,26.88141632080078
2014-07-29,26.979883193969727
2014-07-30,27.088197708129883
2014-07-31,26.75341033935547
2014-08-01,26.59586524963379
2014-08-04,26.763256072998047
2014-08-05,26.162607192993164
2014-08-06,26.142915725708008
2014-08-07,26.044452667236328
2014-08-08,26.21184539794922
2014-08-11,26.51708984375
2014-08-12,26.24138069152832
2014-08-13,26.448162078857422
2014-08-14,26.50724220275879
2014-08-15,26.448162078857422
2014-08-18,26.654943466186523
2014-08-19,26.832183837890625
2014-08-20,26.88141632080078
2014-08-21,26.93065071105957
2014-08-22,26.891263961791992
2014-08-25,27.009424209594727
