Date,PJP
2010-09-29,18.33732032775879
2010-09-30,18.320114135742188
2010-10-01,18.354528427124023
2010-10-04,18.216854095458984
2010-10-05,18.535242080688477
2010-10-06,18.535242080688477
2010-10-07,18.552448272705078
2010-10-08,18.698732376098633
2010-10-11,18.629894256591797
2010-10-12,18.991302490234375
2010-10-13,19.154794692993164
2010-10-14,19.172014236450195
2010-10-15,19.275272369384766
2010-10-18,19.46458625793457
2010-10-19,19.137592315673828
2010-10-20,19.26666831970215
2010-10-21,19.326904296875
2010-10-22,19.387136459350586
2010-10-25,19.490402221679688
2010-10-26,19.43016242980957
2010-10-27,19.326904296875
2010-10-28,19.43876838684082
2010-10-29,19.361324310302734
2010-11-01,19.35271453857422
2010-11-02,19.593660354614258
2010-11-03,19.679710388183594
2010-11-04,19.825990676879883
