Date,KOL
2010-09-29,26.659812927246094
2010-09-30,26.53208351135254
2010-10-01,27.0855712890625
2010-10-04,26.75916290283203
2010-10-05,27.61067771911621
2010-10-06,27.77389144897461
2010-10-07,27.525529861450195
2010-10-08,28.079023361206055
2010-10-11,28.48349380493164
2010-10-12,28.377056121826172
2010-10-13,28.81700897216797
2010-10-14,28.717668533325195
2010-10-15,28.82410430908203
2010-10-18,28.575740814208984
2010-10-19,27.788082122802734
2010-10-20,28.490591049194336
2010-10-21,28.43382453918457
2010-10-22,28.398340225219727
2010-10-25,28.987308502197266
2010-10-26,28.923446655273438
2010-10-27,28.3841495513916
2010-10-28,28.369956970214844
2010-10-29,28.1712703704834
2010-11-01,28.632511138916016
2010-11-02,28.788625717163086
2010-11-03,28.767333984375
