Date,PNQI
2010-09-29,32.57521438598633
2010-09-30,32.26544952392578
2010-10-01,31.935699462890625
2010-10-04,31.526010513305664
2010-10-05,32.43531799316406
2010-10-06,31.16628646850586
2010-10-07,31.19626235961914
2010-10-08,31.545997619628906
2010-10-11,31.416095733642578
2010-10-12,31.496036529541016
2010-10-13,31.925708770751953
2010-10-14,31.91571617126465
2010-10-15,32.64516067504883
2010-10-18,32.73508834838867
2010-10-19,31.885738372802734
2010-10-20,32.22547912597656
2010-10-21,32.8050422668457
2010-10-22,33.464542388916016
2010-10-25,33.94417190551758
2010-10-26,34.25393295288086
2010-10-27,34.503746032714844
2010-10-28,34.43379592895508
2010-10-29,34.563697814941406
2010-11-01,33.99413299560547
2010-11-02,34.53372573852539
2010-11-03,34.73357009887695
2010-11-04,34.78353500366211
