Date,PXE
2010-09-29,14.723806381225586
2010-09-30,14.811782836914062
2010-10-01,14.947745323181152
2010-10-04,14.731803894042969
2010-10-05,15.091699600219727
2010-10-06,15.155683517456055
2010-10-07,15.163680076599121
2010-10-08,15.451600074768066
2010-10-11,15.507585525512695
2010-10-12,15.443603515625
2010-10-13,15.659541130065918
2010-10-14,15.611556053161621
2010-10-15,15.659541130065918
2010-10-18,15.75550651550293
2010-10-19,15.30764389038086
2010-10-20,15.499587059020996
2010-10-21,15.403609275817871
2010-10-22,15.387618064880371
2010-10-25,15.491586685180664
2010-10-26,15.443603515625
2010-10-27,15.395614624023438
2010-10-28,15.371620178222656
2010-10-29,15.387618064880371
2010-11-01,15.427606582641602
2010-11-02,15.731518745422363
2010-11-03,15.875473022460938
2010-11-04,16.363340377807617
