Date,GII
2010-09-29,29.320539474487305
2010-09-30,29.155858993530273
2010-10-01,29.263263702392578
2010-10-04,29.041301727294922
2010-10-05,29.714340209960938
2010-10-06,29.52102279663086
2010-10-07,29.58547019958496
2010-10-08,29.843225479125977
2010-10-11,29.886184692382812
2010-10-12,29.58547019958496
2010-10-13,29.900510787963867
2010-10-14,29.936315536499023
2010-10-15,30.12963104248047
2010-10-18,30.351591110229492
2010-10-19,29.80742645263672
2010-10-20,30.251354217529297
2010-10-21,30.050867080688477
2010-10-22,30.143949508666992
2010-10-25,30.237031936645508
2010-10-26,30.10098648071289
2010-10-27,29.850385665893555
2010-10-28,30.229869842529297
2010-10-29,30.394548416137695
2010-11-01,30.01506805419922
2010-11-02,30.54490852355957
2010-11-03,30.55923843383789
