Date,PEJ
2013-06-24,25.87822914123535
2013-06-25,26.156280517578125
2013-06-26,26.501449584960938
2013-06-27,26.8370304107666
2013-06-28,26.808269500732422
2013-07-01,27.258909225463867
2013-07-02,27.364381790161133
2013-07-03,27.421907424926758
2013-07-05,27.862953186035156
2013-07-08,28.01636505126953
2013-07-09,28.227304458618164
2013-07-10,28.246477127075195
2013-07-11,28.620418548583984
2013-07-12,28.706710815429688
2013-07-15,28.735477447509766
2013-07-16,28.69711685180664
2013-07-17,28.687536239624023
2013-07-18,28.927236557006836
2013-07-19,28.69711685180664
2013-07-22,28.64918327331543
2013-07-23,28.332773208618164
2013-07-24,28.150602340698242
2013-07-25,28.294418334960938
2013-07-26,28.5437068939209
2013-07-29,28.399892807006836
2013-07-30,28.57247543334961
2013-07-31,28.630006790161133
2013-08-01,29.214881896972656
2013-08-02,29.444990158081055
2013-08-05,29.435405731201172
2013-08-06,29.128585815429688
2013-08-07,28.975173950195312
2013-08-08,29.502521514892578
2013-08-09,29.37787437438965
2013-08-12,29.329933166503906
2013-08-13,29.291584014892578
2013-08-14,29.16693687438965
2013-08-15,28.716297149658203
2013-08-16,28.69711685180664
2013-08-19,28.630006790161133
2013-08-20,29.042295455932617
2013-08-21,28.821767807006836
2013-08-22,29.25322723388672
2013-08-23,29.281993865966797
2013-08-26,29.234052658081055
2013-08-27,28.505355834960938
2013-08-28,28.591650009155273
2013-08-29,28.888877868652344
2013-08-30,28.514944076538086
2013-09-03,28.630006790161133
2013-09-04,28.821767807006836
2013-09-05,28.908056259155273
2013-09-06,28.917640686035156
2013-09-09,29.157346725463867
2013-09-10,29.550460815429688
2013-09-11,29.531282424926758
2013-09-12,29.588817596435547
2013-09-13,29.7901611328125
2013-09-16,29.86686897277832
2013-09-17,30.135334014892578
2013-09-18,30.336687088012695
2013-09-19,30.355857849121094
2013-09-20,30.152408599853516
2013-09-23,29.92209243774414
2013-09-24,29.970075607299805
2013-09-25,29.9412899017334
2013-09-26,30.27716827392578
2013-09-27,30.286762237548828
2013-09-30,30.1907958984375
2013-10-01,30.59385108947754
2013-10-02,30.536272048950195
2013-10-03,30.200393676757812
2013-10-04,30.363536834716797
2013-10-07,30.04684829711914
2013-10-08,29.586214065551758
2013-10-09,29.499845504760742
2013-10-10,30.08523178100586
2013-10-11,30.382728576660156
2013-10-14,30.469100952148438
2013-10-15,30.152408599853516
2013-10-16,30.55546760559082
2013-10-17,30.680219650268555
2013-10-18,31.21763038635254
2013-10-21,31.256019592285156
2013-10-22,31.438352584838867
2013-10-23,31.188840866088867
2013-10-24,31.4863338470459
2013-10-25,31.55351448059082
2013-10-28,31.457542419433594
2013-10-29,31.67826271057129
2013-10-30,31.58229637145996
2013-10-31,31.76464080810547
2013-11-01,31.67826271057129
2013-11-04,31.87980079650879
2013-11-05,32.01414489746094
2013-11-06,31.745447158813477
2013-11-07,30.737802505493164
2013-11-08,31.275209426879883
2013-11-11,31.342388153076172
2013-11-12,31.41916275024414
2013-11-13,31.78383445739746
2013-11-14,31.716651916503906
2013-11-15,31.803024291992188
2013-11-18,31.476743698120117
2013-11-19,31.21763038635254
2013-11-20,31.15045166015625
2013-11-21,31.76464080810547
2013-11-22,31.831804275512695
2013-11-25,31.65907096862793
2013-11-26,31.67826271057129
2013-11-27,31.841405868530273
2013-11-29,31.860599517822266
2013-12-02,31.52471351623535
2013-12-03,31.092872619628906
2013-12-04,31.188840866088867
2013-12-05,31.294401168823242
2013-12-06,31.58229637145996
2013-12-09,31.57270622253418
2013-12-10,31.476743698120117
2013-12-11,31.284807205200195
2013-12-12,31.21763038635254
2013-12-13,31.342388153076172
2013-12-16,31.755037307739258
2013-12-17,31.630281448364258
2013-12-18,32.17728805541992
2013-12-19,32.01414489746094
2013-12-20,32.41706848144531
2013-12-23,32.58055114746094
2013-12-24,32.763267517089844
2013-12-26,32.90751266479492
2013-12-27,32.75364685058594
2013-12-30,32.85942077636719
2013-12-31,32.80173873901367
2014-01-02,32.64786911010742
2014-01-03,32.47477340698242
2014-01-06,32.186275482177734
2014-01-07,32.41706848144531
2014-01-08,32.455543518066406
2014-01-09,32.3978385925293
2014-01-10,32.465152740478516
2014-01-13,31.95547866821289
2014-01-14,32.34975051879883
2014-01-15,32.542091369628906
2014-01-16,32.43629837036133
2014-01-17,32.30167770385742
2014-01-21,32.28244400024414
2014-01-22,32.43629837036133
2014-01-23,32.109352111816406
2014-01-24,31.320802688598633
2014-01-27,30.926523208618164
2014-01-28,31.2342472076416
2014-01-29,30.647645950317383
2014-01-30,31.166933059692383
2014-01-31,31.176549911499023
2014-02-03,30.20528793334961
2014-02-04,30.589948654174805
2014-02-05,30.330305099487305
2014-02-06,31.04191780090332
2014-02-07,31.561206817626953
2014-02-10,31.734298706054688
2014-02-11,32.0612678527832
2014-02-12,32.04203414916992
2014-02-13,32.243980407714844
2014-02-14,32.50362777709961
2014-02-18,32.4940071105957
2014-02-19,32.25359344482422
2014-02-20,32.60940170288086
2014-02-21,32.84981155395508
2014-02-24,33.26332473754883
2014-02-25,33.34988021850586
2014-02-26,33.571048736572266
2014-02-27,33.83069610595703
2014-02-28,33.87876892089844
2014-03-03,33.50373458862305
2014-03-04,34.10957336425781
2014-03-05,34.10957336425781
2014-03-06,34.33074188232422
2014-03-07,34.41729736328125
2014-03-10,34.16727828979492
2014-03-11,33.95570755004883
2014-03-12,34.14803695678711
2014-03-13,33.667213439941406
2014-03-14,33.67683029174805
2014-03-17,33.94609451293945
2014-03-18,34.23457336425781
2014-03-19,33.74415969848633
2014-03-20,33.87876892089844
2014-03-21,33.68645095825195
2014-03-24,33.205623626708984
2014-03-25,33.051761627197266
2014-03-26,32.3978385925293
2014-03-27,32.19589614868164
2014-03-28,32.513248443603516
2014-03-31,32.85942077636719
2014-04-01,33.571048736572266
2014-04-02,33.50373458862305
2014-04-03,33.051761627197266
2014-04-04,32.1478157043457
2014-04-07,31.33041763305664
2014-04-08,31.676605224609375
2014-04-09,32.21513366699219
2014-04-10,31.30156707763672
2014-04-11,31.02268409729004
2014-04-14,31.243864059448242
2014-04-15,31.176549911499023
2014-04-16,31.618913650512695
2014-04-17,31.561206817626953
2014-04-21,31.45543098449707
2014-04-22,32.02280044555664
2014-04-23,31.484281539916992
2014-04-24,31.5804386138916
