Date,IAI
2010-09-29,21.58034324645996
2010-09-30,21.478424072265625
2010-10-01,21.724716186523438
2010-10-04,21.486921310424805
2010-10-05,22.098405838012695
2010-10-06,22.098405838012695
2010-10-07,21.937042236328125
2010-10-08,22.07292366027832
2010-10-11,21.954025268554688
2010-10-12,22.106901168823242
2010-10-13,22.259767532348633
2010-10-14,22.115388870239258
2010-10-15,22.140867233276367
2010-10-18,22.590988159179688
2010-10-19,22.395654678344727
2010-10-20,22.574007034301758
2010-10-21,22.446611404418945
2010-10-22,22.523048400878906
2010-10-25,22.45510482788086
2010-10-26,22.378671646118164
2010-10-27,22.557018280029297
2010-10-28,22.7183895111084
2010-10-29,22.70989418029785
2010-11-01,22.590988159179688
2010-11-02,22.820302963256836
2010-11-03,22.87974739074707
2010-11-04,23.46575355529785
