Date,PSI
2010-09-29,12.4153413772583
2010-09-30,12.321428298950195
2010-10-01,12.349600791931152
2010-10-04,12.255688667297363
2010-10-05,12.565605163574219
2010-10-06,12.396556854248047
2010-10-07,12.5562105178833
2010-10-08,12.528038024902344
2010-10-11,12.659515380859375
2010-10-12,12.800386428833008
2010-10-13,12.734647750854492
2010-10-14,12.678299903869629
2010-10-15,12.800386428833008
2010-10-18,12.781603813171387
2010-10-19,12.546820640563965
2010-10-20,12.725255966186523
2010-10-21,12.565605163574219
2010-10-22,12.97882080078125
2010-10-25,13.157258033752441
2010-10-26,13.166646003723145
2010-10-27,13.457779884338379
2010-10-28,13.448390007019043
2010-10-29,13.608041763305664
2010-11-01,13.457779884338379
2010-11-02,13.645604133605957
2010-11-03,13.758302688598633
2010-11-04,14.274824142456055
