Date,BJK
2010-09-29,20.742881774902344
2010-09-30,20.595348358154297
2010-10-01,20.713376998901367
2010-10-04,20.949424743652344
2010-10-05,21.465784072875977
2010-10-06,21.214981079101562
2010-10-07,21.296123504638672
2010-10-08,21.7977294921875
2010-10-11,22.11492156982422
2010-10-12,22.137048721313477
2010-10-13,22.16655731201172
2010-10-14,22.004274368286133
2010-10-15,22.01902961730957
2010-10-18,22.01902961730957
2010-10-19,21.340383529663086
2010-10-20,21.819856643676758
2010-10-21,21.93050765991211
2010-10-22,22.18130874633789
2010-10-25,22.45424461364746
2010-10-26,22.46162223815918
2010-10-27,22.24032211303711
2010-10-28,22.771434783935547
2010-10-29,23.02961540222168
2010-11-01,23.155014038085938
2010-11-02,23.612363815307617
2010-11-03,23.818910598754883
2010-11-04,24.22461700439453
