Date,XHB
2010-09-29,14.452407836914062
2010-09-30,14.434139251708984
2010-10-01,14.434139251708984
2010-10-04,14.242293357849121
2010-10-05,14.452407836914062
2010-10-06,14.452407836914062
2010-10-07,14.351916313171387
2010-10-08,14.534629821777344
2010-10-11,14.452407836914062
2010-10-12,14.470678329467773
2010-10-13,14.543764114379883
2010-10-14,14.388460159301758
2010-10-15,14.260563850402832
2010-10-18,14.196612358093262
2010-10-19,14.077851295471191
2010-10-20,14.160075187683105
2010-10-21,14.34278392791748
2010-10-22,14.306239128112793
2010-10-25,14.388460159301758
2010-10-26,14.315375328063965
2010-10-27,14.214887619018555
2010-10-28,14.114395141601562
2010-10-29,14.160075187683105
2010-11-01,14.1783447265625
2010-11-02,14.552901268005371
2010-11-03,14.498085975646973
