Date,PSJ
2010-09-29,22.40123176574707
2010-09-30,22.33150863647461
2010-10-01,22.41119384765625
2010-10-04,22.102415084838867
2010-10-05,22.680126190185547
2010-10-06,22.08249282836914
2010-10-07,22.32154655456543
2010-10-08,22.480915069580078
2010-10-11,22.421152114868164
2010-10-12,22.640283584594727
2010-10-13,22.99886131286621
2010-10-14,22.99886131286621
2010-10-15,23.078548431396484
2010-10-18,23.078548431396484
2010-10-19,22.63032341003418
2010-10-20,22.839494705200195
2010-10-21,22.839494705200195
2010-10-22,23.247875213623047
2010-10-25,23.407243728637695
2010-10-26,23.47696876525879
2010-10-27,23.457048416137695
2010-10-28,23.576576232910156
2010-10-29,23.716020584106445
2010-11-01,23.666221618652344
2010-11-02,23.945114135742188
2010-11-03,23.935152053833008
