Date,PBJ
2010-09-29,14.568279266357422
2010-09-30,14.559388160705566
2010-10-01,14.639389038085938
2010-10-04,14.59494400024414
2010-10-05,14.817156791687012
2010-10-06,14.781601905822754
2010-10-07,14.746049880981445
2010-10-08,14.799376487731934
2010-10-11,14.808270454406738
2010-10-12,14.852707862854004
2010-10-13,15.021595001220703
2010-10-14,15.101588249206543
2010-10-15,15.137142181396484
2010-10-18,15.181591987609863
2010-10-19,15.003815650939941
2010-10-20,15.119370460510254
2010-10-21,15.128260612487793
2010-10-22,15.37713623046875
2010-10-25,15.34157943725586
2010-10-26,15.386026382446289
2010-10-27,15.217140197753906
2010-10-28,15.306029319763184
2010-10-29,15.33269214630127
2010-11-01,15.34157943725586
2010-11-02,15.457130432128906
2010-11-03,15.510459899902344
