Date,FX
2012-01-04,1.5579352665000001
2012-01-05,1.5521016027
2012-01-06,1.545982575
2012-01-09,1.5446601941999998
2012-01-10,1.546486356
2012-01-11,1.5398958712000002
2012-01-12,1.5334416953
2012-01-13,1.5327652424
2012-01-17,1.5401288458000002
2012-01-18,1.5387659650999999
2012-01-19,1.545117281
2012-01-20,1.5471879122
2012-01-23,1.5565919283
2012-01-24,1.5579918524
2012-01-25,1.5554353705000001
2012-01-26,1.5686157518000001
2012-01-27,1.5707713449
2012-01-30,1.5685570711
2012-01-31,1.5777751168
2012-02-01,1.5850577478
2012-02-02,1.5820697155
2012-02-03,1.5813506368999999
2012-02-06,1.5749305638999995
2012-02-07,1.5794989159000001
2012-02-08,1.5897957962
2012-02-09,1.5882388095
2012-02-10,1.5770656463
2012-02-13,1.5800202658000002
2012-02-14,1.5721363338
2012-02-15,1.5682798275
2012-02-16,1.5670227533
2012-02-17,1.5833233065
2012-02-21,1.5808225728999998
2012-02-22,1.5671641791
2012-02-23,1.571918213
2012-02-24,1.5813240581999999
2012-02-27,1.5843786981999999
2012-02-28,1.5867437197999998
2012-02-29,1.5929612513
2012-03-01,1.5944424482
2012-03-02,1.5872463072
2012-03-05,1.5838974419999998
2012-03-06,1.5798450544
2012-03-07,1.5714456821
2012-03-08,1.5789661956999999
2012-03-09,1.5779651893000002
2012-03-12,1.5632745472
2012-03-13,1.5623093030000001
2012-03-14,1.5710849169999999
2012-03-15,1.5666206731
2012-03-16,1.5811934901
2012-03-19,1.5873015872999998
2012-03-20,1.5859168469
2012-03-21,1.5839271813
2012-03-22,1.5801032041
2012-03-23,1.583403085
2012-03-26,1.589559387
2012-03-27,1.5950472544999998
2012-03-28,1.5896305125
2012-03-29,1.5879396984999998
2012-03-30,1.601630891
2012-04-02,1.6026713194
2012-04-03,1.5993033450999998
2012-04-04,1.5862401931
2012-04-05,1.5855374909
2012-04-09,1.5855374909
2012-04-10,1.5859233281
2012-04-11,1.5898056783
2012-04-12,1.5948829878
2012-04-13,1.5940834141999998
2012-04-16,1.5830801021
2012-04-17,1.5948506194
2012-04-18,1.598364158
2012-04-19,1.6015175621000002
2012-04-20,1.6112366412
2012-04-23,1.608008817
2012-04-24,1.6140544518000002
2012-04-25,1.6116670735
2012-04-26,1.6186918177
2012-04-27,1.6225929106
2012-04-30,1.6254382188
2012-05-01,1.6254382188
2012-05-02,1.6170186565
2012-05-03,1.6176271186000002
2012-05-04,1.6173409693
2012-05-07,1.6160551538999999
2012-05-08,1.6151032302000001
2012-05-09,1.6087955774
2012-05-10,1.6164879022
2012-05-11,1.6113531682
2012-05-14,1.607875
2012-05-15,1.6051743532
2012-05-16,1.5937441351
2012-05-17,1.5836663337
2012-05-18,1.5818204427000002
2012-05-21,1.5789473684
2012-05-22,1.5788302213
2012-05-23,1.5737195425
2012-05-24,1.5677632811000002
2012-05-25,1.5676621267
2012-05-29,1.5665499124000002
2012-05-30,1.5591350674000002
2012-05-31,1.5505688211000002
2012-06-01,1.5306832298
2012-06-04,1.5383759044999998
2012-06-05,1.5343497315
2012-06-06,1.548431105
2012-06-07,1.5576304724
2012-06-08,1.5431647998
2012-06-11,1.5530518757
2012-06-12,1.5540212726
2012-06-13,1.5545082475999998
2012-06-14,1.5510380623
2012-06-15,1.551422589
2012-06-18,1.5655086849000002
2012-06-19,1.5671882762
2012-06-20,1.57617866
2012-06-21,1.5701096722
2012-06-22,1.5591892563999998
2012-06-25,1.5554586785
2012-06-26,1.5601550775
2012-06-27,1.5599449931
2012-06-28,1.5544845716
2012-06-29,1.5604858701
2012-07-02,1.5660987438999998
2012-07-03,1.56649019
2012-07-05,1.5563627255
2012-07-06,1.5539234149
2012-07-09,1.5490171371
2012-07-10,1.5509405378
2012-07-11,1.5555414578
2012-07-12,1.5442556428999998
2012-07-13,1.5473015873
2012-07-16,1.5523967363999998
2012-07-17,1.5621700693
2012-07-18,1.5604591837000001
2012-07-19,1.5692209450999999
2012-07-20,1.5674182566
2012-07-23,1.5523211080000001
2012-07-24,1.5528580604
2012-07-25,1.5492849847
2012-07-26,1.5661727133
2012-07-27,1.5731528195
2012-07-30,1.5703019812
2012-07-31,1.5669366669
2012-08-01,1.5616507937000002
2012-08-02,1.5619939271
2012-08-03,1.5550193663
2012-08-06,1.5571069182
2012-08-07,1.5674313083000002
2012-08-08,1.5638945233000001
2012-08-09,1.5628255622
2012-08-10,1.5598524361000001
2012-08-13,1.5695477962
2012-08-14,1.5715012723
2012-08-15,1.5686174291
2012-08-16,1.5703050067
2012-08-17,1.5712921098
2012-08-20,1.5699789393
2012-08-21,1.5764571574000001
2012-08-22,1.5799961922
2012-08-23,1.5866514979
2012-08-24,1.5839665653
2012-08-27,1.5811922669
2012-08-28,1.5789606140999999
2012-08-29,1.5843647386000002
2012-08-30,1.5856402478
2012-08-31,1.5857906319
2012-09-04,1.5880570635
2012-09-05,1.5914468274
2012-09-06,1.5924899194
2012-09-07,1.5948286683000001
2012-09-10,1.5975990997
2012-09-11,1.6027826523
2012-09-12,1.6085817638
2012-09-13,1.61083037
2012-09-14,1.621772246
2012-09-17,1.6216618130000002
2012-09-18,1.6246421904
2012-09-19,1.6197832316
2012-09-20,1.6189059825
2012-09-21,1.6261424815
2012-09-24,1.6209839357
2012-09-25,1.6236032643
2012-09-26,1.6159265316
2012-09-27,1.6216148128999999
2012-09-28,1.6201992356000001
2012-10-01,1.6130527371
2012-10-02,1.615038721
2012-10-03,1.6112880065000001
2012-10-04,1.6109210772
2012-10-05,1.6186741363
2012-10-08,1.6029193469
2012-10-09,1.6032924866999998
2012-10-10,1.6012174668999999
2012-10-11,1.6042222912000002
2012-10-12,1.608183509
2012-10-15,1.6064152579
2012-10-16,1.6112140299000002
2012-10-17,1.6167590881
2012-10-18,1.6157162212
2012-10-19,1.603814211
2012-10-22,1.6038060159999998
2012-10-23,1.5983531002000002
2012-10-24,1.6011381913
2012-10-25,1.6142377934999999
2012-10-26,1.6110833749000002
2012-10-31,1.6111352223
2012-11-01,1.615513914
2012-11-02,1.6030439122
2012-11-05,1.5973246656
2012-11-06,1.5981022536000002
2012-11-07,1.5964428858000002
2012-11-08,1.5988952357
2012-11-09,1.5922232675
2012-11-12,1.5879052369
2012-11-13,1.5876946163999999
2012-11-14,1.5855968104
2012-11-15,1.583710969
2012-11-16,1.5882609508
2012-11-19,1.5888944222999999
2012-11-20,1.5918722425999998
2012-11-21,1.5932561901
2012-11-23,1.5935069743999999
2012-11-26,1.6005926292
2012-11-27,1.6038856577
2012-11-28,1.5976551365
2012-11-29,1.6031485571000001
2012-11-30,1.6016280216999998
2012-12-03,1.6078069203
2012-12-04,1.6117198080000001
2012-12-05,1.6091883237
2012-12-06,1.611141924
2012-12-07,1.6009180002
2012-12-10,1.6074092491
2012-12-11,1.6092395343
2012-12-12,1.6143608790000001
2012-12-13,1.6143447935
2012-12-14,1.6119531731
2012-12-17,1.6206896552
2012-12-18,1.6213090551
2012-12-19,1.6299473104
2012-12-20,1.6260741468000002
2012-12-21,1.6223286662
2012-12-24,1.6168807338999998
2012-12-26,1.6168807338999998
2012-12-27,1.6180021954
2012-12-28,1.613685048
2012-12-31,1.616713638
2013-01-02,1.6292383292
2013-01-03,1.6160345359000001
2013-01-04,1.6018712298
2013-01-07,1.6063816681
2013-01-08,1.6066298343
2013-01-09,1.6018649163
2013-01-10,1.6046255507
2013-01-11,1.6124878523
2013-01-14,1.6050288738999998
2013-01-15,1.6051791628999998
2013-01-16,1.5994458499000002
2013-01-17,1.6026855293
2013-01-18,1.5914954611
2013-01-22,1.5860179837000001
2013-01-23,1.5855834424000002
2013-01-24,1.5818224908
2013-01-25,1.5819826169
2013-01-28,1.5733177297
2013-01-29,1.57368791
2013-01-30,1.5776535011000001
2013-01-31,1.5810968495
2013-02-01,1.5833816874000002
2013-02-04,1.5723401787
2013-02-05,1.5742528201
2013-02-06,1.5660989456999999
2013-02-07,1.5707328386000001
2013-02-08,1.5801973179
2013-02-11,1.5689513766999998
2013-02-12,1.5598374927
2013-02-13,1.5565819861
2013-02-14,1.5507330696000001
2013-02-15,1.5486982799000002
2013-02-19,1.5466342255
2013-02-20,1.5309744647
2013-02-21,1.525804212
2013-02-22,1.5296096514
2013-02-25,1.5137103197
2013-02-26,1.51476891
2013-02-27,1.5157687634
2013-02-28,1.5213209733000002
