Date,Port. Return (USD),Port. Return (GBP)
2011-07-07,0.11864142340863829,0.12761299346638885
2011-07-08,0.13453646486396625,0.14509133363507432
2011-07-11,0.1359002500572288,0.1455076393538029
2011-07-12,0.14510723481613486,0.16270565618871444
2011-07-13,0.16890536283867905,0.17911912345544162
2011-07-14,0.1692408972170915,0.16879866247604222
2011-07-15,0.20238743375060825,0.20197218484100535
2011-07-18,0.22300278807619756,0.22478338426644368
2011-07-19,0.21171794348220116,0.21190767515060874
2011-07-20,0.20856138241362013,0.20742654707364253
2011-07-21,0.1948286453658665,0.19042182076970027
2011-07-22,0.2102068423058628,0.198528917540067
2011-07-25,0.20166981360615605,0.1905299444814351
2011-07-26,0.2046910676128626,0.1870729179273075
2011-07-27,0.20171071823074363,0.1866712974610436
2011-07-28,0.1998514960244723,0.18729872807520515
2011-07-29,0.19297098138430369,0.18150470387039955
2011-08-01,-0.5825462777181174,-0.5994655013975952
2011-08-02,-0.6104100005849166,-0.6190373200912621
2011-08-03,-0.6089436930144356,-0.6258435769017054
2011-08-04,-0.6038942551616647,-0.6170782054086406
2011-08-05,-0.6752865372812668,-0.686014100453129
2011-08-08,-0.7288282832071801,-0.74443137539702
2011-08-09,-0.7471550721045966,-0.7611144590486824
2011-08-10,-0.7070472309854166,-0.7152450750622898
2011-08-11,-0.6581188296693135,-0.6603753708091743
2011-08-12,-0.6253720304162464,-0.6344236882331532
2011-08-15,-0.6347922566828318,-0.6472342798654434
2011-08-16,-0.6179120419122114,-0.6322030035373988
2011-08-17,-0.6263533157661549,-0.6497838956227543
2011-08-18,-0.6873596182456451,-0.7113104030087635
2011-08-19,-0.677766594275454,-0.7039220650408753
2011-08-22,-0.8153923203909094,-0.8389033653586283
2011-08-23,-0.7595864005632217,-0.7838051349973364
2011-08-24,-0.7007429036174351,-0.7216994496923534
2011-08-25,-0.7271857845663979,-0.7428549611810007
2011-08-26,-0.7328084701634048,-0.7419140229139288
2011-08-29,-0.7054373322980707,-0.7216137680349435
2011-08-30,-0.7004383116489902,-0.7118046464827243
2011-08-31,-0.6899797441143632,-0.7024690829293367
2011-09-01,-1.1453027804410474,-1.1512885067888
2011-09-02,-1.1059285520163502,-1.1124254544144565
2011-09-06,-1.042745502018904,-1.040288669582142
2011-09-07,-1.0470662914040396,-1.0391054611111747
2011-09-08,-0.9859766901686564,-0.980067395473838
2011-09-09,-0.9761670498632068,-0.9663576450765383
2011-09-12,-0.9786869418803259,-0.9638194403378114
2011-09-13,-1.0115638860119813,-0.9924088575251176
2011-09-14,-1.0365070565799543,-1.016159412320174
2011-09-15,-1.0341976506150434,-1.0146858834801837
2011-09-16,-1.0032065824000571,-0.9825873925059585
2011-09-19,-0.9885024784991058,-0.9633358322181718
2011-09-20,-0.9440809774696749,-0.9191333752006142
2011-09-21,-0.9378771363483743,-0.9066006994362158
2011-09-22,-0.9823609635412777,-0.9370297816080773
2011-09-23,-1.0431349461767196,-0.9974955428101785
2011-09-26,-1.0086184340349515,-0.9713350893059837
2011-09-27,-1.0194865338865116,-0.9878080210892881
2011-09-28,-1.0301323402680866,-1.0000365709010544
2011-09-29,-1.0592825824531626,-1.0292749550794194
2011-09-30,-1.0270359866953067,-0.9933729709148067
2011-10-03,-1.773096805925033,-1.7344819993966945
2011-10-04,-1.772068891083163,-1.7260512776818886
2011-10-05,-1.7319193147103538,-1.6901070568766647
2011-10-06,-1.7565748788519937,-1.7052574023727327
2011-10-07,-1.69554000356807,-1.6588908497066748
2011-10-10,-1.7191595656531682,-1.6895467817868464
2011-10-11,-1.7076335563945542,-1.677555157923159
2011-10-12,-1.8446191249213537,-1.8202574081288307
2011-10-13,-1.879400791967054,-1.851630950490693
2011-10-14,-1.841949652493617,-1.821190379277297
2011-10-17,-1.7567767897590034,-1.7346846674135725
2011-10-18,-1.7387917976208256,-1.7137715047334523
2011-10-19,-1.648338400166325,-1.6289274859751646
2011-10-20,-1.6557936268003368,-1.6348057559728555
2011-10-21,-1.6581727894554847,-1.6448530944371211
2011-10-24,-1.7642311193709792,-1.753551583354301
2011-10-25,-1.6598826308637062,-1.6525177553667267
2011-10-26,-1.6494995574680171,-1.640714526736666
2011-10-27,-1.892503206772194,-1.8866229526241092
2011-10-28,-1.9263212112640717,-1.9256196069758786
2011-10-31,-1.7355558676581166,-1.7306948320926854
