StartF,EndF,StartS,EndS,StartH,EndH,Winners,Losers
2014-02-03,2015-01-30,2014-09-02,2015-02-27,2015-03-02,2015-03-31,"['PSI', 'PJP', 'PBE', 'IHF']","['BJK', 'SLX', 'XME', 'PXJ']"
2014-03-03,2015-02-27,2014-10-01,2015-03-31,2015-04-01,2015-04-30,"['PSI', 'IHF', 'PJP', 'IYT']","['BJK', 'XME', 'PXJ', 'GDXJ']"
2014-04-01,2015-03-31,2014-11-03,2015-04-30,2015-05-01,2015-05-29,"['PJP', 'IHF', 'PSI', 'PBE']","['SLX', 'XME', 'GDXJ', 'PXJ']"
2014-05-01,2015-04-30,2014-12-01,2015-05-29,2015-06-01,2015-06-30,"['IHF', 'PBE', 'PJP', 'PSI']","['KOL', 'GDXJ', 'PXJ', 'XME']"
2014-06-02,2015-05-29,2015-01-02,2015-06-30,2015-07-01,2015-07-31,"['PBE', 'PSI', 'IHF', 'PJP']","['XME', 'KOL', 'FRAK', 'PXJ']"
2014-07-01,2015-06-30,2015-02-02,2015-07-31,2015-08-03,2015-08-31,"['IHF', 'PBE', 'PJP', 'PSI']","['FRAK', 'GDXJ', 'XME', 'PXJ']"
2014-08-01,2015-07-31,2015-03-02,2015-08-31,2015-09-01,2015-09-30,"['PJP', 'PBE', 'IHF', 'KBWP']","['GDX', 'PXJ', 'XME', 'GDXJ']"
2014-09-02,2015-08-31,2015-04-01,2015-09-30,2015-10-01,2015-10-30,"['PJP', 'IHF', 'IHI', 'KBWP']","['PXJ', 'GDXJ', 'KOL', 'XME']"
2014-10-01,2015-09-30,2015-05-01,2015-10-30,2015-11-02,2015-11-30,"['KBWP', 'XHB', 'IHF', 'PSJ']","['SLX', 'PXJ', 'KOL', 'XME']"
2014-11-03,2015-10-30,2015-06-01,2015-11-30,2015-12-01,2015-12-31,"['KBWP', 'PNQI', 'PSJ', 'XHB']","['PXJ', 'SLX', 'KOL', 'XME']"
2014-12-01,2015-11-30,2015-07-01,2015-12-31,2016-01-04,2016-01-29,"['KBWR', 'PNQI', 'KBWP', 'PSI']","['GDXJ', 'SLX', 'XME', 'KOL']"
2015-01-02,2015-12-31,2015-08-03,2016-01-29,2016-02-01,2016-02-29,"['PNQI', 'KBWP', 'PJP', 'FAN']","['FRAK', 'SLX', 'XME', 'KOL']"
2015-02-02,2016-01-29,2015-09-01,2016-02-29,2016-03-01,2016-03-31,"['KBWP', 'PNQI', 'FAN', 'PBJ']","['FRAK', 'SLX', 'XME', 'KOL']"
2015-03-02,2016-02-29,2015-10-01,2016-03-31,2016-04-01,2016-04-29,"['KBWP', 'PBJ', 'PNQI', 'GDXJ']","['XME', 'PXE', 'FRAK', 'KOL']"
2015-04-01,2016-03-31,2015-11-02,2016-04-29,2016-05-02,2016-05-31,"['GDXJ', 'KBWP', 'PNQI', 'FAN']","['PXE', 'FRAK', 'KOL', 'TAN']"
2015-05-01,2016-04-29,2015-12-01,2016-05-31,2016-06-01,2016-06-30,"['GDXJ', 'GDX', 'KBWP', 'IHI']","['PXJ', 'FRAK', 'KOL', 'TAN']"
2015-06-01,2016-05-31,2016-01-04,2016-06-30,2016-07-01,2016-07-29,"['GDXJ', 'GDX', 'KBWP', 'IHI']","['PBE', 'PXJ', 'KOL', 'TAN']"
2015-07-01,2016-06-30,2016-02-01,2016-07-29,2016-08-01,2016-08-31,"['GDXJ', 'GDX', 'IHI', 'FAN']","['CARZ', 'PXE', 'PBE', 'TAN']"
2015-08-03,2016-07-29,2016-03-01,2016-08-31,2016-09-01,2016-09-30,"['GDXJ', 'GDX', 'XME', 'SLX']","['PXE', 'PXJ', 'PBE', 'TAN']"
2015-09-01,2016-08-31,2016-04-01,2016-09-30,2016-10-03,2016-10-31,"['GDXJ', 'GDX', 'SOCL', 'PSI']","['PJP', 'PXJ', 'PBE', 'TAN']"
2015-10-01,2016-09-30,2016-05-02,2016-10-31,2016-11-01,2016-11-30,"['GDXJ', 'GDX', 'XME', 'KOL']","['PJP', 'PXJ', 'PBE', 'TAN']"
2015-11-02,2016-10-31,2016-06-01,2016-11-30,2016-12-01,2016-12-30,"['GDXJ', 'KOL', 'GDX', 'XME']","['PJP', 'PXJ', 'PBE', 'TAN']"
2015-12-01,2016-11-30,2016-07-01,2016-12-30,2017-01-03,2017-01-31,"['XME', 'SLX', 'KOL', 'GDXJ']","['CARZ', 'PBE', 'PJP', 'TAN']"
2016-01-04,2016-12-30,2016-08-01,2017-01-31,2017-02-01,2017-02-28,"['XME', 'KOL', 'SLX', 'GDXJ']","['PBD', 'PJP', 'PBE', 'TAN']"
2016-02-01,2017-01-31,2016-09-01,2017-02-28,2017-03-01,2017-03-31,"['XME', 'SLX', 'KOL', 'GDXJ']","['PBE', 'PBJ', 'PJP', 'TAN']"
2016-03-01,2017-02-28,2016-10-03,2017-03-31,2017-04-03,2017-04-28,"['SLX', 'KOL', 'XME', 'PSI']","['PBD', 'PBJ', 'PJP', 'TAN']"
