Date,BJK,XME,PBS,FRAK,PXE,GRID,PBD,XHB,IHF,SOCL,PXQ,GDXJ,SLX,ROBO,GDX,PBJ,PBE,KBWR,CARZ,PEJ,FAN,PNQI,PPA,PSP,HAP,IHI,PSJ,IAI,KBWP,IYT,PSI,KOL,PXJ,GII,KBWB,PJP,TAN,SKYY,NLR,PIO,VTV,SPY
2011-09-22,22.27057647705078,40.231536865234375,11.37124729156494,,15.90794277191162,21.854076385498047,7.842732429504394,12.366971015930176,48.33879089355469,,20.41193199157715,106.09353637695312,33.31494140625,,55.79924774169922,16.078989028930664,17.841999053955078,,18.236970901489254,15.840131759643555,6.404978275299072,33.324642181396484,14.36135482788086,4.409755229949951,25.662363052368164,53.186439514160156,21.32549285888672,17.399932861328125,18.43941307067871,67.68367004394531,11.837477684020994,223.6802215576172,15.542964935302734,28.01840591430664,,21.18292808532715,26.61100959777832,15.493627548217773,35.28551483154297,13.67310619354248,37.16281127929688,95.02923583984376
2011-09-23,22.384201049804688,40.15375518798828,11.495159149169922,,15.617385864257812,22.025583267211914,7.929584980010986,12.53485107421875,48.77283477783203,,20.642902374267575,99.39781951904295,33.618213653564446,,53.079856872558594,16.070013046264652,18.16303825378418,,18.76756858825684,15.97268295288086,6.413064479827881,33.86423110961914,14.54098415374756,4.392618656158446,25.541507720947266,53.839393615722656,21.68407249450684,17.673574447631836,17.779088973999023,68.79270172119139,12.034927368164062,228.59706115722656,15.125049591064453,28.64434814453125,,21.26955986022949,27.28376197814941,15.726762771606445,35.28551483154297,13.805341720581055,37.369789123535156,95.6017837524414
2011-09-26,22.51297378540039,41.355079650878906,11.771580696105955,,16.214641571044922,22.124889373779297,7.920898914337157,12.945216178894045,49.79030227661133,,21.124086380004886,98.62781524658205,34.543216705322266,,53.95494842529297,16.429121017456055,18.308963775634766,,19.1013240814209,16.351409912109375,6.493937969207764,34.13402938842773,14.900242805480955,4.461163520812988,25.936309814453125,54.937171936035156,22.231903076171875,18.16714859008789,17.779088973999023,70.38217163085938,12.016121864318848,232.7300720214844,15.765259742736815,28.56983184814453,,21.451505661010746,26.984758377075195,16.027887344360348,35.20321655273437,13.964022636413574,38.32449340820313,97.87521362304688
2011-09-27,23.10382461547852,42.469974517822266,11.962209701538086,,16.553619384765625,22.83801078796387,8.085915565490723,13.075786590576172,50.51839447021485,,21.43204689025879,100.67001342773438,35.52886199951172,,53.700889587402344,16.60867691040039,18.552175521850586,,19.905771255493164,16.502899169921875,6.599067687988281,34.51373672485352,15.178668975830078,4.575407028198242,26.52449035644531,56.30224227905274,22.71996688842773,18.30569076538086,17.779088973999023,71.4993667602539,12.23237419128418,239.2858123779297,15.907535552978516,29.58325958251953,,21.867359161376953,27.50800895690918,16.251304626464847,36.21137237548828,14.175599098205565,38.79783630371094,98.96981048583984
2011-09-28,22.61145210266113,39.57468795776367,11.552349090576172,,15.859518051147461,22.22418594360352,7.842732429504394,12.66542148590088,48.83818817138672,,20.75838279724121,94.67735290527344,33.898757934570305,,51.32025527954102,16.258546829223633,18.026838302612305,,19.905771255493164,16.020027160644528,6.526282787322997,33.59444046020508,14.855335235595705,4.449739456176758,25.7107048034668,54.822608947753906,22.122333526611328,17.569658279418945,17.779088973999023,69.43756866455078,11.818671226501465,227.2431488037109,15.018342971801758,29.24793815612793,,21.425508499145508,25.639259338378906,15.959891319274902,35.450111389160156,13.893498420715332,38.02764892578125,96.9490203857422
2011-09-29,22.27815055847168,40.084617614746094,11.47609806060791,,15.883733749389648,22.54012489318848,7.877473831176758,12.898582458496096,48.84751892089844,,20.66214942932129,93.9408187866211,34.179283142089844,,51.78132629394531,16.3572998046875,18.065752029418945,,19.905771255493164,15.83066177368164,6.647592544555664,32.36537551879883,14.891260147094727,4.535422325134277,25.91213798522949,55.04218292236328,22.092453002929688,18.054576873779297,17.779088973999023,70.84538269042969,11.611821174621582,228.38327026367188,15.045022964477539,29.19577789306641,,21.486154556274414,25.48975944519043,15.823898315429688,35.69700622558594,14.175599098205565,38.6133041381836,97.71524810791016
2011-09-30,21.043420791625977,38.7450065612793,11.19968032836914,,15.351043701171875,22.088775634765625,7.616918087005615,12.394948959350586,48.09142684936523,,20.017358779907227,94.24211883544922,32.784210205078125,,51.93187713623047,16.09695053100586,17.812808990478516,,19.21257209777832,15.309918403625488,6.518197059631348,31.78581428527832,14.684685707092285,4.392618656158446,25.058069229125977,53.87755966186523,21.67411231994629,17.223289489746097,17.779088973999023,68.33856964111328,11.339156150817873,216.3406219482422,14.378132820129395,28.733774185180664,,21.286890029907227,24.144256591796875,15.483911514282227,35.059192657470696,13.770078659057615,37.74685668945313,95.27342224121094
2011-10-03,20.05109214782715,36.204063415527344,10.723095893859863,,14.608514785766602,20.879173278808594,7.147916316986084,11.704792022705078,45.72045135498047,,19.305200576782227,92.23341369628906,31.047950744628906,,51.23556137084961,15.522378921508787,17.268016815185547,,18.82745933532715,14.703958511352539,6.2917585372924805,30.586727142333984,14.190706253051758,4.2098302841186515,24.22011375427246,51.59607696533203,20.618295669555664,16.478584289550778,17.779088973999023,65.75905609130861,10.850237846374512,204.3691864013672,13.471162796020508,28.443153381347656,,20.61977767944336,22.12600898742676,14.97879123687744,33.47494888305664,13.373373985290527,36.51136016845703,92.56216430664062
2011-10-04,20.308643341064453,38.0103759765625,11.04717254638672,,15.24612045288086,20.71669006347656,7.373729705810548,12.311015129089355,46.36453628540039,,20.267574310302734,89.82295989990234,32.04876708984375,,49.40068435668945,15.87251091003418,17.783632278442386,,18.373897552490234,15.006939888000488,6.429239749908447,31.47604942321777,14.576909065246582,4.2783756256103525,24.70355224609375,53.21889877319336,21.375293731689453,17.335859298706055,17.779088973999023,68.68368530273439,11.480189323425293,210.49740600585938,14.164728164672852,28.46550750732422,,21.0096492767334,23.32201194763184,15.464486122131348,33.660118103027344,13.708370208740234,37.329681396484375,94.59136962890624
2011-10-05,20.793445587158203,40.16239547729492,11.409375190734865,,15.89179801940918,22.097803115844727,7.521378993988037,12.740031242370605,46.92461395263672,,20.9123649597168,94.47647094726562,33.36801528930664,,51.64958572387695,15.890457153320312,18.26032257080078,,18.96439552307129,15.357259750366213,6.493937969207764,32.395347595214844,14.855335235595705,4.3354973793029785,25.4689884185791,54.30713653564453,21.9032039642334,17.604297637939453,17.779088973999023,70.51841735839844,11.781060218811035,222.6113586425781,14.893857955932615,28.66670799255371,,21.425508499145508,24.144256591796875,15.959891319274902,34.441951751708984,13.875866889953613,37.97951889038086,96.34275817871094
